age,age_cat,coninc,coninc_quantiles,degree,ethnic,hs_or_college,race,region,sex,talkspvs,year,vstrat,vpsu,wtsscomp
32,30-39,9032.625,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2010,2361.0,1.0,0.463127684
37,30-39,11039.875,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2010,2361.0,1.0,1.389383053
39,30-39,19068.875,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2010,2361.0,1.0,0.926255368
25,18-29,54195.75,"(36306.0, 60354.0]",College,Mexico,Some college,White,West North Central,Male,,2010,2363.0,1.0,0.463127684
69,60-69,36130.5,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Mountain,Male,,2010,2363.0,2.0,1.389383053
42,40-49,26094.25,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Male,,2010,2366.0,2.0,0.926255368
30,30-39,,,HS or assoc,Mexico,HS or less,Other,South Atlantic,Female,,2010,2366.0,2.0,1.68410067
29,18-29,54195.75,"(36306.0, 60354.0]",No degree,Africa,HS or less,Black,East South Atlantic,Male,,2010,2367.0,2.0,1.852510737
55,50-59,9032.625,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,West South Central,Male,,2010,2368.0,2.0,0.463127684
30,30-39,26094.25,"(18455.0, 36306.0]",College,Africa,Some college,Black,West South Central,Female,,2010,2368.0,2.0,0.463127684
62,60-69,11039.875,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,West South Central,Female,,2010,2368.0,2.0,0.463127684
57,50-59,44159.5,"(36306.0, 60354.0]",College,Africa,Some college,Black,West South Central,Female,,2010,2368.0,2.0,0.926255368
54,50-59,5218.85,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,West South Central,Female,,2010,2368.0,2.0,0.463127684
69,60-69,4415.95,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,West South Central,Male,,2010,2368.0,2.0,0.463127684
84,70+,22079.75,"(18455.0, 36306.0]",No degree,Africa,HS or less,Black,West South Central,Male,,2010,2368.0,2.0,0.926255368
20,18-29,2810.15,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,West South Central,Female,,2010,2368.0,2.0,0.926255368
55,50-59,11039.875,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,West South Central,Male,,2010,2368.0,2.0,0.463127684
69,60-69,26094.25,"(18455.0, 36306.0]",No degree,Africa,HS or less,Black,West South Central,Male,,2010,2368.0,2.0,0.842050335
59,50-59,13047.125,"(335.999, 18455.0]",College,Africa,Some college,Black,West South Central,Female,,2010,2368.0,2.0,0.926255368
22,18-29,13047.125,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,West South Central,Male,,2010,2368.0,2.0,0.926255368
43,40-49,26094.25,"(18455.0, 36306.0]",HS or assoc,Africa,Some college,Black,South Atlantic,Female,,2010,2369.0,1.0,0.926255368
53,50-59,17061.625,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Male,,2010,2369.0,1.0,1.68410067
51,50-59,,,HS or assoc,Africa,Some college,Black,West South Central,Male,,2010,2369.0,2.0,0.926255368
62,60-69,,,No degree,Africa,HS or less,Black,West South Central,Male,,2010,2369.0,2.0,0.463127684
23,18-29,401.45,"(335.999, 18455.0]",No degree,Africa,HS or less,Black,West South Central,Female,,2010,2369.0,2.0,0.463127684
27,18-29,19068.875,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,West South Central,Female,,2010,2369.0,2.0,0.926255368
30,30-39,15054.375,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,South Atlantic,Male,,2010,2370.0,1.0,0.926255368
19,18-29,26094.25,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,South Atlantic,Male,,2010,2370.0,1.0,1.389383053
22,18-29,1605.8,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Female,,2010,2370.0,1.0,0.926255368
38,30-39,5218.85,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,South Atlantic,Female,,2010,2370.0,1.0,1.852510737
27,18-29,30108.75,"(18455.0, 36306.0]",College,Africa,Some college,Black,West South Central,Female,,2010,2370.0,2.0,0.926255368
51,50-59,26094.25,"(18455.0, 36306.0]",HS or assoc,Africa,Some college,Black,West South Central,Male,,2010,2370.0,2.0,0.463127684
44,40-49,,,HS or assoc,Africa,Some college,Black,West South Central,Female,,2010,2370.0,2.0,0.926255368
56,50-59,15054.375,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,West South Central,Male,,2010,2370.0,2.0,1.389383053
60,60-69,9032.625,"(335.999, 18455.0]",College,Africa,Some college,Black,West South Central,Male,,2010,2370.0,2.0,0.463127684
65,60-69,7226.1,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,West South Central,Male,,2010,2371.0,2.0,0.463127684
57,50-59,30108.75,"(18455.0, 36306.0]",HS or assoc,Mexico,Some college,White,West South Central,Male,,2010,2371.0,2.0,0.926255368
43,40-49,26094.25,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,West South Central,Female,,2010,2371.0,2.0,0.926255368
36,30-39,1605.8,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Female,,2010,2372.0,1.0,0.463127684
67,60-69,9032.625,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,South Atlantic,Female,,2010,2372.0,1.0,0.463127684
71,70+,1605.8,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Mountain,Male,,2010,2372.0,2.0,0.463127684
19,18-29,36130.5,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Mountain,Male,,2010,2372.0,2.0,0.926255368
19,18-29,11039.875,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Mountain,Male,,2010,2372.0,2.0,1.389383053
30,30-39,17061.625,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Mountain,Male,,2010,2373.0,1.0,0.926255368
70,70+,42130.0,"(36306.0, 60354.0]",College,Africa,Some college,Black,Middle Atlantic,Female,,2012,3001.0,1.0,0.873987621
24,18-29,4213.0,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Middle Atlantic,Female,,2012,3001.0,1.0,0.41189813
36,30-39,42130.0,"(36306.0, 60354.0]",College,Africa,Some college,Black,New England,Female,,2012,3001.0,2.0,0.82379626
35,30-39,42130.0,"(36306.0, 60354.0]",HS or assoc,Africa,HS or less,Black,New England,Female,,2012,3001.0,2.0,0.873987621
36,30-39,42130.0,"(36306.0, 60354.0]",HS or assoc,Mexico,HS or less,White,New England,Male,,2012,3001.0,2.0,0.82379626
49,40-49,34470.0,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2012,3002.0,2.0,0.82379626
30,30-39,34470.0,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2012,3002.0,2.0,0.873987621
41,40-49,,,No degree,Mexico,HS or less,White,Middle Atlantic,Female,,2012,3003.0,2.0,0.41189813
67,60-69,51705.0,"(36306.0, 60354.0]",College,Africa,Some college,Black,Middle Atlantic,Female,,2012,3004.0,1.0,0.873987621
71,70+,21065.0,"(18455.0, 36306.0]",College,Africa,Some college,Black,Middle Atlantic,Male,,2012,3004.0,1.0,0.82379626
52,50-59,24895.0,"(18455.0, 36306.0]",No degree,Africa,HS or less,Black,Middle Atlantic,Female,,2012,3004.0,2.0,0.41189813
46,40-49,178712.4649,"(60354.0, 180386.0]",College,Mexico,Some college,White,Middle Atlantic,Male,,2012,3005.0,1.0,0.82379626
,,18192.5,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Middle Atlantic,Female,,2012,3006.0,1.0,1.23569439
27,18-29,4979.0,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,Other,Middle Atlantic,Male,,2012,3006.0,2.0,0.82379626
46,40-49,,,HS or assoc,Africa,HS or less,Black,Middle Atlantic,Female,,2012,3007.0,1.0,0.41189813
49,40-49,51705.0,"(36306.0, 60354.0]",HS or assoc,Africa,HS or less,Black,Pacific,Male,,2012,3008.0,1.0,0.41189813
36,30-39,51705.0,"(36306.0, 60354.0]",College,Mexico,Some college,White,Pacific,Female,,2012,3008.0,1.0,0.82379626
40,40-49,18192.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2012,3008.0,2.0,0.82379626
34,30-39,34470.0,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,Pacific,Female,,2012,3008.0,2.0,2.621962863
58,50-59,21065.0,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3008.0,2.0,2.621962863
32,30-39,34470.0,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Female,,2012,3008.0,2.0,0.82379626
34,30-39,34470.0,"(18455.0, 36306.0]",HS or assoc,Africa,HS or less,Black,Pacific,Male,,2012,3008.0,2.0,0.873987621
36,30-39,10532.5,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,Pacific,Female,,2012,3008.0,2.0,0.41189813
39,30-39,21065.0,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,Black,Pacific,Female,,2012,3009.0,1.0,0.41189813
64,60-69,16277.5,"(335.999, 18455.0]",HS or assoc,Africa,HS or less,Black,Pacific,Female,,2012,3009.0,1.0,0.41189813
22,18-29,12447.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3009.0,1.0,0.82379626
41,40-49,28725.0,"(18455.0, 36306.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2012,3009.0,2.0,0.41189813
33,30-39,4979.0,"(335.999, 18455.0]",No degree,Mexico,HS or less,White,Pacific,Female,,2012,3009.0,2.0,0.41189813
22,18-29,51705.0,"(36306.0, 60354.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2012,3009.0,2.0,1.23569439
42,40-49,10532.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2012,3009.0,2.0,1.23569439
28,18-29,10532.5,"(335.999, 18455.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2012,3009.0,2.0,0.82379626
52,50-59,12447.5,"(335.999, 18455.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2012,3009.0,2.0,0.873987621
22,18-29,76600.0,"(60354.0, 180386.0]",HS or assoc,Mexico,HS or less,Other,Pacific,Male,,2012,3010.0,2.0,1.23569439
38,30-39,34470.0,"(18455.0, 36306.0]",No degree,Mexico,HS or less,Other,Pacific,Male,,2012,3010.0,2.0,2.621962863
40,40-49,42130.0,"(36306.0, 60354.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2012,3011.0,1.0,0.82379626
38,30-39,91920.0,"(60354.0, 180386.0]",HS or assoc,Mexico,HS or less,White,Pacific,Male,,2012,3011.0,1.0,0.82379626
33,30-39,91920.0,"(60354.0, 180386.0]",College,Mexico,Some college,White,Pacific,Female,,2012,3011.0,1.0,0.82379626
38,30-39,24895.0,"(18455.0, 36306.0]",No degree,Mexico,HS or less,White,Pacific,Male,,2012,3011.0,2.0,0.82379626
41,40-49,178712.4649,"(60354.0, 180386.0]",No degree,Mexico,HS or less,Other,Pacific,Female,,2012,3012.0,1.0,1.23569439
39,30-39,107240.0,"(60354.0, 180386.0]",College,Mexico,Some college,White,Pacific,Male,,2012,3012.0,1.0,1.747975242
25,18-29,34470.0,"(18455.0, 36306.0]",College,Mexico,Some college,White,Pacific,Female,,2012,3012.0,1.0,0.82379626
