year,age,educ,degree,sex,race,partyid,othlang,letin1a,coninc,vstrat,vpsu,wtssnrps,prez,age_c,decrease_imm
2010,20,12,1,1,1,1,2,4,96348,2259,2,1.026382935,1,18,1
2010,70,2,0,2,3,3,2,2,13047.125,2260,1,0.868647073,1,70,0
2010,42,6,0,1,1,2,2,1,,2260,1,0.733579967,1,40,0
2010,35,9,0,1,1,2,2,3,9032.625,2260,1,2.026113304,1,30,0
2010,40,12,1,2,1,3,2,,26094.25,2260,2,0.69494131,1,40,
2010,68,20,4,1,3,2,1,1,152908.1861,2260,2,2.609762104,1,60,0
2010,34,16,3,1,3,5,1,,,2260,2,1.318126869,1,30,
2010,30,13,1,1,3,3,1,5,66239.25,2260,2,0.83649828,1,30,1
2010,25,9,0,1,3,1,2,3,26094.25,2261,1,1.531289557,1,18,0
2010,36,6,0,1,1,1,1,3,36130.5,2261,1,0.923159422,1,30,0
2010,54,12,1,2,1,4,1,4,44159.5,2261,1,0.456573723,1,50,1
2010,58,15,1,1,1,0,1,3,,2261,2,7.664102664,1,50,0
2010,55,12,1,2,2,1,1,5,19068.875,2261,2,0.505651802,1,50,1
2010,34,8,0,2,3,2,2,,11039.875,2261,2,0.832639429,1,30,
2010,29,16,3,1,2,0,2,4,44159.5,2261,2,0.830044387,1,18,1
2010,20,14,1,2,3,5,1,4,11039.875,2261,2,0.675176412,1,18,1
2010,41,12,1,2,2,0,2,,36130.5,2261,2,0.43148971,1,40,
2010,40,19,4,2,1,0,1,4,80290,2262,1,0.452954238,1,40,1
2010,71,16,3,1,1,6,2,,66239.25,2262,1,0.536680862,1,70,
2010,23,14,1,1,1,1,1,3,19068.875,2262,2,1.444609844,1,18,0
2010,49,14,1,1,1,7,2,,13047.125,2262,2,1.080582869,1,40,
2010,44,15,2,1,1,2,1,,6021.75,2262,2,3.838773814,1,40,
2010,20,13,1,2,1,7,1,3,36130.5,2262,2,2.012172557,1,18,0
2010,24,17,3,1,1,2,2,4,5218.85,2263,1,1.364061784,1,18,1
2010,29,12,1,1,1,1,2,2,66239.25,2263,1,0.632436842,1,18,0
2010,56,20,4,2,1,2,2,,152908.1861,2263,2,0.578722741,1,50,
2010,24,12,1,1,1,3,1,5,44159.5,2263,2,3.162184209,1,18,1
2010,60,14,1,1,1,2,2,,44159.5,2263,2,1.234598514,1,60,
2010,52,16,4,1,1,5,2,5,,2263,2,2.427663855,1,50,1
2010,51,12,1,2,1,5,1,4,44159.5,2263,2,3.802316137,1,50,1
2010,64,14,2,2,1,2,2,3,26094.25,2264,1,1.626459477,1,60,0
2010,23,17,1,2,1,1,2,3,,2264,1,0.767872115,1,18,0
2010,46,12,0,1,1,6,1,,96348,2264,1,3.745200502,1,40,
2010,34,17,3,1,1,1,2,2,80290,2264,2,0.737343675,1,30,0
2010,29,16,3,2,3,1,1,2,13047.125,2264,2,0.865462967,1,18,0
2010,28,19,4,2,1,0,1,2,54195.75,2264,2,1.647447756,1,18,0
2010,39,15,2,2,1,6,1,2,112406,2265,1,1.389543076,1,30,0
2010,33,20,4,1,1,2,1,,66239.25,2265,1,0.68123713,1,30,
2010,24,11,1,2,2,5,2,5,19068.875,2265,2,0.379406888,1,18,1
2010,34,12,1,2,3,5,1,,11039.875,2265,2,0.473573834,1,30,
2010,24,16,3,1,1,0,2,5,11039.875,2266,1,1.539597759,1,18,1
2010,30,16,3,1,1,5,2,,66239.25,2266,1,0.838502394,1,30,
2010,25,16,3,1,1,2,2,3,22079.75,2266,1,0.550531947,1,18,0
2010,41,16,3,2,1,0,1,3,80290,2266,2,0.452954238,1,40,0
2010,37,15,2,1,3,0,1,3,80290,2266,2,1.680038045,1,30,0
2010,48,16,3,2,1,2,2,,80290,2266,2,0.452954238,1,40,
2010,28,13,1,1,1,3,1,1,7226.1,2266,2,1.492756025,1,18,0
2010,30,20,4,2,1,7,2,3,80290,2266,2,0.806391832,1,30,0
2010,34,19,4,2,3,4,2,,80290,2266,2,0.591556917,1,30,
